	alpha	beta	chi	delta	eta	gamma	kappa	lambda	mu	nu	omega	phi	rho	theta
40115-01-05-00	1.06199164191e-07	1.44807715679e-05	7.78052772878e-20	7.82926103573e-10	2.46412061209e-07	1.98427789707e-06	0.881077433962	5.93916495739e-05	0.118499702785	1.17748393075e-14	9.9340502635e-09	5.02917001e-12	0.000346643209553	1.0706575572e-11
40115-01-05-00	4.02067443066e-08	1.80371283328e-05	3.70936287233e-20	9.76187851326e-10	2.88659081063e-07	8.68151637301e-07	0.934084398518	1.96385802641e-05	0.0656621017671	7.31037144697e-15	5.64740718034e-09	2.82909302524e-12	0.000214620352618	9.98116930951e-12
20186-03-03-00	1.15257367841e-07	3.45238257734e-06	5.93371389416e-11	0.0399671725431	3.18392180275e-09	0.16479157026	0.00186027237137	0.466141617406	0.00650219724267	4.56503567776e-15	0.32073330971	2.89416378644e-07	1.01591042126e-10	6.51383556283e-11
20186-03-03-00	1.8784323833e-08	3.95987012506e-05	4.44206315859e-11	0.00884007485121	2.20903225118e-07	0.206478680775	0.0419296512241	0.00936354361381	0.215256608997	8.81953725477e-15	0.518091502184	8.49836087626e-08	1.31528911377e-08	1.78536816124e-09
20186-03-03-00	1.42126314372e-09	0.00027856975524	3.41055292749e-13	3.78391095722e-05	2.70283659215e-06	0.00658044686151	0.121862026185	5.06191012713e-05	0.864605030704	5.94683591036e-15	0.00658010046229	7.96865112824e-10	2.64910486393e-06	1.3660769958e-08
50405-01-04-01	0.000427605842856	0.104724840588	9.38349778917e-10	5.83005748155e-06	0.0467338093098	0.000142221637719	7.02110360361e-06	1.00130052392e-06	5.24959225447e-05	7.14693881901e-09	3.00550582249e-08	2.11759952007e-08	0.842906198387	0.00499891653402
50405-01-04-01	0.000518242830859	0.167283750909	1.21347597229e-09	1.77665117474e-05	0.0564250071574	0.000248089556242	2.35940378285e-05	2.53551304748e-06	8.78385374648e-05	6.7684620966e-09	1.84826409139e-07	3.83034458562e-08	0.765447017273	0.00994592656128
50405-01-04-01	0.000719795771609	0.280735898187	1.32842099417e-09	4.18287084138e-05	0.0600137855848	0.000420794966385	5.18313123403e-05	6.17491985513e-06	0.000157131561096	8.53812580493e-09	3.45997866581e-07	5.96499632004e-08	0.646908972002	0.0109433714719
50405-01-04-01	0.000661219600563	0.319517331151	9.89512606573e-10	3.62833455445e-05	0.0534845906522	0.000286286841223	4.39528034917e-05	5.32514802192e-06	0.000105841956129	7.4162125996e-09	2.73635319518e-07	4.62056968554e-08	0.615306146733	0.0105526935219
50405-01-04-01	0.00102394618065	0.369398409568	1.06082238867e-09	4.95863716961e-05	0.0561826172153	0.000481175404318	7.78538782318e-05	1.05468932325e-05	0.000194238113702	9.94601278727e-09	3.07844364671e-07	6.97770503074e-08	0.564933367366	0.00764787038041
