tstart,alpha,beta,chi,delta,eta,gamma,kappa,lambda,mu,nu,omega,phi,rho,theta
242331616.063,0.00364407770195,5.90255701085e-06,0.752079094819,5.66078888403e-11,3.51953264989e-08,0.000153341768671,6.12245688201e-12,4.77649108616e-09,2.74212659958e-08,0.243923449604,1.25327821407e-07,5.08622618151e-08,5.92194437343e-17,0.000193889903135
242331872.063,0.00391342558383,5.74769048406e-06,0.726171137922,6.28360737623e-11,4.22288346432e-08,0.000149867913241,7.92983629702e-12,4.97901570969e-09,3.23254845436e-08,0.269552085453,1.63482717385e-07,5.69786346739e-08,7.54973504761e-17,0.000207435371836
242332128.064,0.0033183360321,4.88807819187e-06,0.707613617752,5.0196940463e-11,3.48124654011e-08,0.000138913153737,7.41282134442e-12,4.98601196966e-09,3.4871495054e-08,0.288748032969,1.68905826842e-07,4.85386619933e-08,5.97039826709e-17,0.000175919842942
274297703.062,1.10399472094e-06,3.52612684892e-07,0.992505027641,2.30945141325e-08,4.7915606346e-09,0.000156625271192,2.07763935017e-11,2.45341040837e-08,4.04026486404e-09,0.00708195416947,0.000246914604314,1.20940200933e-06,1.38481108472e-18,6.75582371128e-06
274297959.062,2.3953138888e-06,8.39199455607e-07,0.988033007731,4.31724568966e-08,8.86250862675e-09,0.000215139585293,4.99331409324e-11,3.49616095941e-08,5.93888210016e-09,0.0114561229408,0.000268827535517,1.55332204121e-06,6.16012533951e-18,2.20213866789e-05
274298215.062,1.67007539822e-06,5.15749118228e-07,0.991683133374,2.52813027832e-08,4.78659745917e-09,0.000176644906265,2.27979241317e-11,2.74163622869e-08,4.14718031278e-09,0.00793418237019,0.000192197025929,1.11956032114e-06,1.78685559592e-18,1.04752840584e-05
274298471.062,5.24951321744e-06,1.62555224342e-06,0.98651594608,5.04051508864e-08,9.84101379496e-09,0.000266899298405,5.54559274252e-11,4.30058108599e-08,6.18214994421e-09,0.0129947685748,0.00017194548011,1.47209466149e-06,9.41279641611e-18,4.19839172257e-05
315239456.062,5.08858770527e-06,1.57108395721e-06,0.999113129417,4.59687628931e-09,4.90062023323e-10,0.000868627721142,7.9495311463e-16,1.30014373186e-09,1.48839079432e-10,9.4730152233e-06,4.91322320232e-09,2.05035607728e-06,1.58144140897e-20,4.83702145693e-08
315239712.062,2.54338879343e-06,1.01224779565e-06,0.99931716816,4.38413348931e-09,2.89122737691e-10,0.000670278950415,6.01298323036e-16,1.47725285525e-09,1.15397030034e-10,7.17156893277e-06,8.50164694599e-09,1.77780691149e-06,6.01447708304e-21,3.31093041718e-08
315239968.062,3.00039005456e-06,1.37663364035e-06,0.999325255494,6.56894359165e-09,2.94446746177e-10,0.000662348191961,6.2462768285e-16,1.78394322375e-09,8.79207006572e-11,6.02307564944e-06,9.86388424893e-09,1.92378303558e-06,6.39934966482e-21,5.38324084865e-08
